Photon Energy,Absorption,Photon Energy,Absorption,Photon Energy,Absorption,Photon Energy,Absorption,Photon Energy,Absorption
eV,,eV,,eV,,eV,,eV,
,As Deposited,,Gd (3 nm),,Gd (7 nm),,Gd (20 nm),,Ta (20 nm) Annealed
921,0.011795621742433,921,0.0125984607064947,921,0.0112210983149268,921,0.0130924584766627,921,0.0367963027385616
921.20001221,0.0167030953410353,921.20001221,0.0126133416609205,921.20001221,0.0103741447957612,921.20001221,0.0144327599250248,921.20001221,0.0328637133524535
921.40002441,0.0157446908670342,921.40002441,0.012027885911683,921.40002441,0.0127030003200274,921.40002441,0.0129153256415703,921.40002441,0.0437042275050512
921.59997559,0.0165165674915692,921.59997559,0.0133537019031888,921.59997559,0.012629565233508,921.59997559,0.0137319240259939,921.59997559,0.0374838958677195
921.79998779,0.0160817660665446,921.79998779,0.0125998824019145,921.79998779,0.0116700192030234,921.79998779,0.0115669635326938,921.79998779,0.0387491389925177
922,0.0153685702590235,922,0.0144054796479,922,0.0132521065934692,922,0.0157116175662222,922,0.041215222025588
922.20001221,0.0172789904789979,922.20001221,0.0138467935092832,922.20001221,0.0134262151350912,922.20001221,0.0159243359140719,922.20001221,0.0414856424208893
922.40002441,0.0169638683783197,922.40002441,0.0138211014164728,922.40002441,0.0153579989204831,922.40002441,0.01445680136371,922.40002441,0.0396979492507603
922.59997559,0.0170823756938224,922.59997559,0.0147945648236984,922.59997559,0.0120929431340975,922.59997559,0.0154591617091121,922.59997559,0.0426253458137787
922.79998779,0.016048707404219,922.79998779,0.016231608566747,922.79998779,0.0139139969932616,922.79998779,0.0153164899473901,922.79998779,0.0357544421456569
923,0.0202585687260319,923,0.0171347918931768,923,0.0151877574900746,923,0.0185659945334703,923,0.0415880100732187
923.20001221,0.0183729866907171,923.20001221,0.0161825865716665,923.20001221,0.0143553199591901,923.20001221,0.0190415782878448,923.20001221,0.0409423078352677
923.40002441,0.0169604927327452,923.40002441,0.0182921241594647,923.40002441,0.0151538490652853,923.40002441,0.0170505143023177,923.40002441,0.0471476473318885
923.59997559,0.0228307974605949,923.59997559,0.0180641518971872,923.59997559,0.0171868510076939,923.59997559,0.0161238559394202,923.59997559,0.0419041866386738
923.79998779,0.0193439572861253,923.79998779,0.0184657386158105,923.79998779,0.0178513276229043,923.79998779,0.0190045162518863,923.79998779,0.0506369132719878
924,0.019771719453358,924,0.0202263607528419,924,0.0189554823447148,924,0.0177379192793399,924,0.04881245308515
924.20001221,0.02078714022408,924.20001221,0.0206116421949794,924.20001221,0.0195598836516944,924.20001221,0.017572013805896,924.20001221,0.0495045944770869
924.40002441,0.0236153594155091,924.40002441,0.0206198832383851,924.40002441,0.019586820678351,924.40002441,0.0210782609633213,924.40002441,0.0492265308214579
924.59997559,0.024942009785883,924.59997559,0.0208905019560335,924.59997559,0.0182105824537636,924.59997559,0.0223500935996267,924.59997559,0.0582986214104196
924.79998779,0.0225210387552452,924.79998779,0.024324824122309,924.79998779,0.0207041543415242,924.79998779,0.0222415833430257,924.79998779,0.0490878091776626
925,0.0268987778148068,925,0.0216149245318496,925,0.0210362205123782,925,0.0215205316546153,925,0.0484962343055027
925.20001221,0.0231413353502179,925.20001221,0.0229504775647422,925.20001221,0.0199714152865577,925.20001221,0.0243280973607901,925.20001221,0.0539660558205694
925.40002441,0.0258660161185334,925.40002441,0.0247889775782136,925.40002441,0.0218909288747823,925.40002441,0.0215921712291738,925.40002441,0.049470481377923
925.59997559,0.026710726544694,925.59997559,0.0250514237785287,925.59997559,0.0247846332222768,925.59997559,0.0236396899947945,925.59997559,0.0586123072033927
925.79998779,0.0265042595245558,925.79998779,0.0261453167043944,925.79998779,0.0225837280014252,925.79998779,0.0253620086190981,925.79998779,0.0476024212772722
926,0.0309942825453902,926,0.0290916597703311,926,0.0263158741368801,926,0.0267230022909855,926,0.0568787069739825
926.20001221,0.0308716561239557,926.20001221,0.0285672412478262,926.20001221,0.026904175417935,926.20001221,0.0276658499438903,926.20001221,0.0613624448795852
926.40002441,0.0320720946041148,926.40002441,0.0301920738035176,926.40002441,0.0281082595593955,926.40002441,0.0290587269377973,926.40002441,0.0545726893842339
926.59997559,0.0327272910230932,926.59997559,0.0320607653964687,926.59997559,0.0286946909834843,926.59997559,0.0300258969617176,926.59997559,0.0561713287023975
926.79998779,0.036192262059397,926.79998779,0.0346169772517464,926.79998779,0.0318593979768401,926.79998779,0.0294743762645945,926.79998779,0.0547430907073789
927,0.035173548341956,927,0.0355375479091188,927,0.0315693783311211,927,0.0341559146764289,927,0.0542113709281471
