Photon Energy,Absorption
eV,
,As Deposited
935.59997559,0.206646623405632
935.79998779,0.213120320615159
936,0.224209435818012
936.20001221,0.234202075809003
936.40002441,0.244911488456898
936.59997559,0.253584005580241
936.79998779,0.256769750340205
937,0.2572300882318
937.20001221,0.255329315637896
937.40002441,0.254681604600083
937.59997559,0.252436500951256
937.79998779,0.248298032606686
938,0.245561000457362
938.20001221,0.245639993773489
938.40002441,0.247201776779264
938.59997559,0.248791498461936
938.79998779,0.24914385123673
939,0.25185199316135
939.20001221,0.247557078319712
939.40002441,0.248896809794332
939.59997559,0.251730467646457
939.79998779,0.247147878492591
940,0.247409324893754
940.20001221,0.239668990759411
940.40002441,0.238408058769612
940.59997559,0.231513009024503
940.79998779,0.229630379360725
941,0.227428602658892
941.20001221,0.226033785981431
941.40002441,0.221654496868328
941.59997559,0.225675598266314
941.79998779,0.225130414051996
942,0.225903364524317
942.20001221,0.228579670122335
942.40002441,0.23437142524236
942.59997559,0.24304373929279
942.79998779,0.247688373196196
943,0.252341066349109
943.20001221,0.259615036843871
943.40002441,0.259116583355536
943.59997559,0.258090198667776
943.79998779,0.259778094031329
944,0.258103284424088
944.20001221,0.257258612675116
944.40002441,0.257456263846372
944.59997559,0.257317432069212
944.79998779,0.255719126687775
945,0.25919589797814
945.20001221,0.263425719159916
945.40002441,0.262848545940855
945.59997559,0.259909594923234
945.79998779,0.268687654108474
946,0.273034885078486
946.20001221,0.278409121649748
946.40002441,0.280470093535604
946.59997559,0.285814859108369
946.79998779,0.281176261096677
947,0.281275442101469
947.20001221,0.278287705400453
947.40002441,0.273933438716544
947.59997559,0.275302671520278
947.79998779,0.273489142609888
948,0.272705319421185
948.20001221,0.271763923995475
948.40002441,0.273823813748849
948.59997559,0.273727717660026
948.79998779,0.276445259669306
949,0.282572814482091
949.20001221,0.286301949492
949.40002441,0.295697664643646
949.59997559,0.301237550007669
949.79998779,0.312901379015277
950,0.321111515827966
950.20001221,0.341282063403059
950.40002441,0.358277685139601
950.59997559,0.383951065361007
950.79998779,0.429835398511487
951,0.489994731972658
951.20001221,0.553436106706522
951.40002441,0.610010336550446
951.59997559,0.650456125740652
951.79998779,0.656634900990793
952,0.646634205787496
952.20001221,0.625372674079561
952.40002441,0.60818795231914
952.59997559,0.591884045366052
952.79998779,0.587377676851187
953,0.571001150488866
953.20001221,0.562495946830419
953.40002441,0.546303662378409
953.59997559,0.524505778550994
953.79998779,0.505320760662571
954,0.487702776877
954.20001221,0.47117677336261
954.40002441,0.457848138070772
954.59997559,0.447183999071894
954.79998779,0.438224773652764
955,0.430485599761347
955.20001221,0.431543731510824
955.40002441,0.427333774755284
955.59997559,0.428478292426647
955.79998779,0.428509902423403
956,0.431832161485101
956.20001221,0.434039970960443
956.40002441,0.436022374499128
956.59997559,0.441624795399023
956.79998779,0.444603800643429
957,0.444699150734486
957.20001221,0.445194647749859
957.40002441,0.441972851068419
957.59997559,0.443555885342975
957.79998779,0.444424723756218
958,0.442225509261583
958.20001221,0.441276648321164
958.40002441,0.442498492957216
958.59997559,0.448010529580693
958.79998779,0.449331429650438
959,0.451377763321935
959.20001221,0.450964814814531
959.40002441,0.452868412822177
959.59997559,0.457328891175185
959.79998779,0.459181329030725
960,0.460374735218847
960.20001221,0.461843635622924
960.40002441,0.461077312293688
960.59997559,0.464451327499726
960.79998779,0.466362313374912
961,0.467853005868843
961.20001221,0.469469166184908
961.40002441,0.474806933335386
961.59997559,0.480484181318377
961.79998779,0.478366736011296
962,0.481678990918282
962.20001221,0.485028563949227
962.40002441,0.481566088885893
962.59997559,0.485414929768006
962.79998779,0.48723470885397
963,0.484101826968731
963.20001221,0.486201564823833
963.40002441,0.484505876925773
963.59997559,0.489003153396104
963.79998779,0.488880416973357
964,0.486000709117484
964.20001221,0.494671421383468
964.40002441,0.493482154365395
964.59997559,0.497052731706027
964.79998779,0.500046120607833
965,0.501424964318126
965.20001221,0.500530037400741
965.40002441,0.505628135248074
965.59997559,0.508537730302766
965.79998779,0.507471541823284
966,0.509361150815489
966.20001221,0.510588271513621
966.40002441,0.511868837309831
966.59997559,0.50689758066736
966.79998779,0.508491974074727
967,0.509018007945796
967.20001221,0.508432286899403
967.40002441,0.511764715992595
967.59997559,0.510915320525401
967.79998779,0.513555070301222
968,0.510166992708699
968.20001221,0.512295371689679
968.40002441,0.514207069350616
968.59997559,0.512440273266142
968.79998779,0.513487158886602
969,0.514681093529913
969.20001221,0.516431478409893
969.40002441,0.517828894998416
969.59997559,0.523125738984729
969.79998779,0.525479109566322
970,0.527362091539887
