Photon Energy,Absorption
eV,
,Gd (3 nm)
950.59997559,0.373966482163832
950.79998779,0.42031915802342
951,0.486267386403537
951.20001221,0.546050626439144
951.40002441,0.59700200021623
951.59997559,0.620839018968584
951.79998779,0.611213609658388
952,0.585621286265091
952.20001221,0.558455390182703
952.40002441,0.534380374567615
952.59997559,0.522997569809884
952.79998779,0.509889234609758
953,0.50069346202081
953.20001221,0.487955362687567
953.40002441,0.473863399039434
953.59997559,0.458031848211282
953.79998779,0.440075364892865
954,0.425249503776207
954.20001221,0.412163014288909
954.40002441,0.403354482633607
954.59997559,0.398053843235902
954.79998779,0.389244060787911
955,0.385760328012998
955.20001221,0.382317501768058
955.40002441,0.381825198938044
955.59997559,0.381662308679547
955.79998779,0.385122062634237
956,0.388507740297081
956.20001221,0.390325492563311
956.40002441,0.393214243360576
