#     thickness (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   2      4.4786243221402                    0                   -0                  270
                   2     4.47652236004801                    0                   -0                  270
                   2     4.47441280559354                    0                   -0                  270
                   2     4.47229597462127                    0                   -0                  270
                   2     4.47017218570436                    0                   -0                  270
                   2     4.46804175997122                    0                   -0                  270
                   2     4.46590502092974                    0                   -0                  270
                   2     4.46376229428928                    0                   -0                  270
                   2     4.46161390778064                    0                   -0                  270
                   2     4.45946019097402 -2.10088052606174e-16 -3.32380297594794e-17                  270
                   2     4.45730147509538 -2.10088052606174e-16 -3.32380297594794e-17                  270
                   2     4.45513809284109 -2.10088052606174e-16 -3.32380297594794e-17                  270
                   2      4.4529703781912 -2.10088052606174e-16 -3.32380297594794e-17                  270
                   2     4.45079866622146 -2.10088052606174e-16 -3.32380297594794e-17                  270
                   2     4.44862329291424 -2.10088052606174e-16 -3.32380297594794e-17                  270
                   2     4.44644459496847 -4.20176105212349e-16 -6.64760595189588e-17                  270
                   2     4.44426290960893 -4.20176105212349e-16 -6.64760595189588e-17                  270
                   2     4.44207857439482 -4.20176105212349e-16 -6.64760595189588e-17                  270
                   2       4.439891927028 -6.30264157818523e-16 -9.97140892784382e-17                  270
                   2     4.43770330516096 -6.30264157818523e-16 -9.97140892784382e-17                  270
                   2     4.43551304620469 -8.40352210424698e-16 -1.32952119037918e-16                  270
                   2     4.43332148713663 -1.05044026303087e-15 -1.66190148797397e-16                  270
                   2     4.43112896430897 -1.26052831563705e-15 -1.99428178556876e-16                  270
                   2     4.42893581325724 -1.47061636824322e-15 -2.32666208316356e-16                  270
                   2     4.42674236850968 -1.6807044208494e-15 -2.65904238075835e-16                  270
                   2     4.42454896339717 -2.10088052606174e-15 -3.32380297594794e-16                  270
                   2     4.42235592986435 -2.52105663127409e-15 -3.98856357113753e-16                  270
                   2     4.42016359828159 -2.94123273648644e-15 -4.65332416632712e-16                  270
                   2     4.41797229725847 -3.57149689430496e-15 -5.6504650591115e-16                  270
                   2     4.41578235345854 -4.20176105212349e-15 -6.64760595189588e-16                  270
                   2     4.41359409141574 -5.04211326254819e-15 -7.97712714227506e-16                  270
                   2     4.41140783335257 -6.09255352557906e-15 -9.63902863024903e-16                  270
                   2     4.40922389900024 -7.14299378860993e-15 -1.1300930118223e-15                  270
                   2     4.40704260542079 -8.61361015685315e-15 -1.36275922013866e-15                  270
                   2     4.40486426683154 -1.02943145777025e-14 -1.62866345821449e-15                  270
                   2     4.40268919443185 -1.21851070511581e-14 -1.92780572604981e-15                  270
                   2     4.40051769623247 -1.42859875772199e-14 -2.2601860236446e-15                  270
                   2     4.39835007688757 -1.70171322611001e-14 -2.69228041051783e-15                  270
                   2     4.39618663752947 -2.01684530501927e-14 -3.19085085691002e-15                  270
                   2      4.3940276756065 -2.39500379971039e-14 -3.78913539258065e-15                  270
                   2     4.39187348472385 -2.83618871018335e-14 -4.48713401752972e-15                  270
                   2      4.3897243544876 -3.36140884169879e-14 -5.3180847615167e-15                  270
                   2     4.38758057035226 -3.99167299951731e-14 -6.31522565430109e-15                  270
                   2     4.38544241347157 -4.72698118363892e-14 -7.47855669588287e-15                  270
                   2     4.38331016055309 -5.58834219932424e-14 -8.84131591602152e-15                  270
                   2     4.38118408371637 -6.59676485183388e-14 -1.04367413444765e-14                  270
                   2     4.37906445035498 -7.79426675168907e-14 -1.23313090407669e-14                  270
                   2     4.37695152300247 -9.22286550941106e-14 -1.45914950644115e-14                  270
                   2     4.37484555920232 -1.08825611249998e-13 -1.72172994154103e-14                  270
                   2     4.37274681138205 -1.28363800142373e-13 -2.03084361830419e-14                  270
                   2     4.37065552673155 -1.51473485929052e-13 -2.39646194565846e-14                  270
                   2     4.36857194708563 -1.78574844715248e-13 -2.82523252955575e-14                  270
                   2     4.36649630881103 -2.10508228711387e-13 -3.33045058189984e-14                  270
                   2     4.36442884269789 -2.47903902075286e-13 -3.92208751161857e-14                  270
                   2     4.36236977385568 -2.91812305069976e-13 -4.61676233359169e-14                  270
                   2     4.36031932161376 -3.43283877958489e-13 -5.43109406269893e-14                  270
                   2     4.35827769942665 -4.03789237109067e-13 -6.38834931977194e-14                  270
